Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A317Y1E0	unreviewed	A0A317Y1E0_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	Zm00014a_030684	Zea mays (Maize)	590
A0A317Y237	unreviewed	A0A317Y237_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	4CL5 Zm00014a_033583	Zea mays (Maize)	552
A0A317Y3Q0	unreviewed	A0A317Y3Q0_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	Zm00014a_030684	Zea mays (Maize)	590
A0A317Y8J4	unreviewed	A0A317Y8J4_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	Zm00014a_021728	Zea mays (Maize)	748
A0A317Y9R2	unreviewed	A0A317Y9R2_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	AAE20 Zm00014a_004058	Zea mays (Maize)	577
A0A317YAP5	unreviewed	A0A317YAP5_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	Zm00014a_021728	Zea mays (Maize)	748
A0A317YCJ3	unreviewed	A0A317YCJ3_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	AAE18 Zm00014a_016594	Zea mays (Maize)	729
A0A317YF40	unreviewed	A0A317YF40_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	4CLL4 Zm00014a_004078	Zea mays (Maize)	551
A0A317YJK3	unreviewed	A0A317YJK3_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	AAE1_1 Zm00014a_012427	Zea mays (Maize)	644
A0A317YK76	unreviewed	A0A317YK76_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	AAE7_1 Zm00014a_003219	Zea mays (Maize)	567
A0A346TLE8	unreviewed	A0A346TLE8_NARPA	4-coumarate--CoA ligase (EC 6.2.1.12)	4CL1	Narcissus papyraceus (Paperwhite narcissus)	569
A0A368PLF1	unreviewed	A0A368PLF1_SETIT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SETIT_1G177400v2	Setaria italica (Foxtail millet) (Panicum italicum)	706
A0A368Q0K3	unreviewed	A0A368Q0K3_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_2G193500v2	Setaria italica (Foxtail millet) (Panicum italicum)	726
A0A368QAB5	unreviewed	A0A368QAB5_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_3G017700v2	Setaria italica (Foxtail millet) (Panicum italicum)	636
A0A368QJ67	unreviewed	A0A368QJ67_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_3G265000v2	Setaria italica (Foxtail millet) (Panicum italicum)	530
A0A368QJ91	unreviewed	A0A368QJ91_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_3G265100v2	Setaria italica (Foxtail millet) (Panicum italicum)	536
A0A368QJK9	unreviewed	A0A368QJK9_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_3G265100v2	Setaria italica (Foxtail millet) (Panicum italicum)	557
A0A368QRF8	unreviewed	A0A368QRF8_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_4G009200v2	Setaria italica (Foxtail millet) (Panicum italicum)	1136
A0A368QU62	unreviewed	A0A368QU62_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_4G144800v2	Setaria italica (Foxtail millet) (Panicum italicum)	588
A0A368RJ70	unreviewed	A0A368RJ70_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_6G075200v2	Setaria italica (Foxtail millet) (Panicum italicum)	577
A0A368RPM9	unreviewed	A0A368RPM9_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_6G232700v2	Setaria italica (Foxtail millet) (Panicum italicum)	439
A0A368RS60	unreviewed	A0A368RS60_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_7G048000v2	Setaria italica (Foxtail millet) (Panicum italicum)	615
A0A368S6J2	unreviewed	A0A368S6J2_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_8G111200v2	Setaria italica (Foxtail millet) (Panicum italicum)	536
A0A368S6S4	unreviewed	A0A368S6S4_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_8G111200v2	Setaria italica (Foxtail millet) (Panicum italicum)	557
A0A368SC80	unreviewed	A0A368SC80_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G013500v2	Setaria italica (Foxtail millet) (Panicum italicum)	725
A0A368SHY1	unreviewed	A0A368SHY1_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G184000v2	Setaria italica (Foxtail millet) (Panicum italicum)	542
A0A368SI56	unreviewed	A0A368SI56_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G184200v2	Setaria italica (Foxtail millet) (Panicum italicum)	605
A0A368SJR2	unreviewed	A0A368SJR2_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G184100v2	Setaria italica (Foxtail millet) (Panicum italicum)	550
A0A368SRX3	unreviewed	A0A368SRX3_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G431600v2	Setaria italica (Foxtail millet) (Panicum italicum)	564
A0A368STX7	unreviewed	A0A368STX7_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G431700v2	Setaria italica (Foxtail millet) (Panicum italicum)	566
A0A368SVQ4	unreviewed	A0A368SVQ4_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G537100v2	Setaria italica (Foxtail millet) (Panicum italicum)	524
A0A368SWB9	unreviewed	A0A368SWB9_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_9G550400v2	Setaria italica (Foxtail millet) (Panicum italicum)	637
A0A3B5XZR7	unreviewed	A0A3B5XZR7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	568
A0A3B5YWW7	unreviewed	A0A3B5YWW7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_006823	Triticum aestivum (Wheat)	587
A0A3B5ZR67	unreviewed	A0A3B5ZR67_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_010454	Triticum aestivum (Wheat)	472
A0A3B5ZVK3	unreviewed	A0A3B5ZVK3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_011725	Triticum aestivum (Wheat)	568
A0A3B6AUI6	unreviewed	A0A3B6AUI6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_015802	Triticum aestivum (Wheat)	542
A0A3B6AZM3	unreviewed	A0A3B6AZM3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_017079	Triticum aestivum (Wheat)	620
A0A3B6AZS0	unreviewed	A0A3B6AZS0_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	CFC21_017270	Triticum aestivum (Wheat)	556
A0A3B6B0A8	unreviewed	A0A3B6B0A8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_017270	Triticum aestivum (Wheat)	495
A0A3B6B8S7	unreviewed	A0A3B6B8S7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_020023	Triticum aestivum (Wheat)	558
A0A3B6B901	unreviewed	A0A3B6B901_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_020321	Triticum aestivum (Wheat)	529
A0A3B6BA05	unreviewed	A0A3B6BA05_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_020212	Triticum aestivum (Wheat)	545
A0A3B6C4C6	unreviewed	A0A3B6C4C6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_022248	Triticum aestivum (Wheat)	540
A0A3B6C697	unreviewed	A0A3B6C697_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_023503	Triticum aestivum (Wheat)	619
A0A3B6CGB4	unreviewed	A0A3B6CGB4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_026473	Triticum aestivum (Wheat)	558
A0A3B6CJ56	unreviewed	A0A3B6CJ56_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_026679	Triticum aestivum (Wheat)	536
A0A3B6D8I4	unreviewed	A0A3B6D8I4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_028516	Triticum aestivum (Wheat)	540
A0A3B6DH03	unreviewed	A0A3B6DH03_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	CFC21_030002	Triticum aestivum (Wheat)	556
A0A3B6DMU1	unreviewed	A0A3B6DMU1_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_032983	Triticum aestivum (Wheat)	548
A0A3B6DQ04	unreviewed	A0A3B6DQ04_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_033156	Triticum aestivum (Wheat)	531
A0A3B6DRH5	unreviewed	A0A3B6DRH5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_032990	Triticum aestivum (Wheat)	548
A0A3B6EIT2	unreviewed	A0A3B6EIT2_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_035642	Triticum aestivum (Wheat)	658
A0A3B6EIX5	unreviewed	A0A3B6EIX5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_036323	Triticum aestivum (Wheat)	614
A0A3B6EK57	unreviewed	A0A3B6EK57_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_036323	Triticum aestivum (Wheat)	559
A0A3B6EKN4	unreviewed	A0A3B6EKN4_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_035642	Triticum aestivum (Wheat)	655
A0A3B6EM20	unreviewed	A0A3B6EM20_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_037247	Triticum aestivum (Wheat)	560
A0A3B6EN82	unreviewed	A0A3B6EN82_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_036323	Triticum aestivum (Wheat)	631
A0A3B6END5	unreviewed	A0A3B6END5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_037246	Triticum aestivum (Wheat)	500
A0A3B6EPI7	unreviewed	A0A3B6EPI7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_038022	Triticum aestivum (Wheat)	468
A0A3B6ER12	unreviewed	A0A3B6ER12_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_038022	Triticum aestivum (Wheat)	550
A0A3B6ERH3	unreviewed	A0A3B6ERH3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_037246	Triticum aestivum (Wheat)	558
A0A3B6FPW6	unreviewed	A0A3B6FPW6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_042276	Triticum aestivum (Wheat)	586
A0A3B6FQZ8	unreviewed	A0A3B6FQZ8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_042276	Triticum aestivum (Wheat)	424
A0A3B6FTR4	unreviewed	A0A3B6FTR4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_042276	Triticum aestivum (Wheat)	634
A0A3B6FUB8	unreviewed	A0A3B6FUB8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_042276	Triticum aestivum (Wheat)	618
A0A3B6FUD3	unreviewed	A0A3B6FUD3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	560
A0A3B6FWT0	unreviewed	A0A3B6FWT0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_044082	Triticum aestivum (Wheat)	550
A0A3B6GUA1	unreviewed	A0A3B6GUA1_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_047538	Triticum aestivum (Wheat)	598
A0A3B6GY29	unreviewed	A0A3B6GY29_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_049055	Triticum aestivum (Wheat)	558
A0A3B6GZ72	unreviewed	A0A3B6GZ72_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_048143	Triticum aestivum (Wheat)	626
A0A3B6GZL8	unreviewed	A0A3B6GZL8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_048143	Triticum aestivum (Wheat)	420
A0A3B6H1R0	unreviewed	A0A3B6H1R0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	1144
A0A3B6H2H3	unreviewed	A0A3B6H2H3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_049055	Triticum aestivum (Wheat)	596
A0A3B6H2W9	unreviewed	A0A3B6H2W9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_064040	Triticum aestivum (Wheat)	562
A0A3B6H3A8	unreviewed	A0A3B6H3A8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	1100
A0A3B6H547	unreviewed	A0A3B6H547_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_049902	Triticum aestivum (Wheat)	554
A0A3B6H5I3	unreviewed	A0A3B6H5I3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_049902	Triticum aestivum (Wheat)	395
A0A3B6H5T3	unreviewed	A0A3B6H5T3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	885
A0A3B6HPU4	unreviewed	A0A3B6HPU4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_051152	Triticum aestivum (Wheat)	549
A0A3B6HQM8	unreviewed	A0A3B6HQM8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_051997	Triticum aestivum (Wheat)	579
A0A3B6HSR9	unreviewed	A0A3B6HSR9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_051996	Triticum aestivum (Wheat)	567
A0A3B6HU38	unreviewed	A0A3B6HU38_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_052859	Triticum aestivum (Wheat)	700
A0A3B6HV51	unreviewed	A0A3B6HV51_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_053171	Triticum aestivum (Wheat)	432
A0A3B6HVP2	unreviewed	A0A3B6HVP2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_053174	Triticum aestivum (Wheat)	478
A0A3B6HXB9	unreviewed	A0A3B6HXB9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_053174	Triticum aestivum (Wheat)	543
A0A3B6HZ13	unreviewed	A0A3B6HZ13_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054133	Triticum aestivum (Wheat)	716
A0A3B6HZQ4	unreviewed	A0A3B6HZQ4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_053173	Triticum aestivum (Wheat)	551
A0A3B6I0N6	unreviewed	A0A3B6I0N6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054133	Triticum aestivum (Wheat)	734
A0A3B6I0U7	unreviewed	A0A3B6I0U7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054747	Triticum aestivum (Wheat)	482
A0A3B6I250	unreviewed	A0A3B6I250_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054133	Triticum aestivum (Wheat)	481
A0A3B6I2Z5	unreviewed	A0A3B6I2Z5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054133	Triticum aestivum (Wheat)	528
A0A3B6I3Y5	unreviewed	A0A3B6I3Y5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054733	Triticum aestivum (Wheat)	710
A0A3B6I4U2	unreviewed	A0A3B6I4U2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_054747	Triticum aestivum (Wheat)	692
A0A3B6IKY9	unreviewed	A0A3B6IKY9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_056713	Triticum aestivum (Wheat)	543
A0A3B6IME3	unreviewed	A0A3B6IME3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_056716	Triticum aestivum (Wheat)	491
A0A3B6INN5	unreviewed	A0A3B6INN5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_057051	Triticum aestivum (Wheat)	697
A0A3B6INX3	unreviewed	A0A3B6INX3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_056715	Triticum aestivum (Wheat)	551
A0A3B6IPG8	unreviewed	A0A3B6IPG8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_057269	Triticum aestivum (Wheat)	684
A0A3B6IPV1	unreviewed	A0A3B6IPV1_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_056716	Triticum aestivum (Wheat)	543
A0A3B6IR66	unreviewed	A0A3B6IR66_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_057269	Triticum aestivum (Wheat)	613
A0A3B6IRG9	unreviewed	A0A3B6IRG9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_057836	Triticum aestivum (Wheat)	567
A0A3B6IRY9	unreviewed	A0A3B6IRY9_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_057269	Triticum aestivum (Wheat)	694
A0A3B6IUR9	unreviewed	A0A3B6IUR9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059187	Triticum aestivum (Wheat)	581
A0A3B6IUY2	unreviewed	A0A3B6IUY2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059240	Triticum aestivum (Wheat)	549
A0A3B6IUY7	unreviewed	A0A3B6IUY7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059245	Triticum aestivum (Wheat)	558
A0A3B6IW89	unreviewed	A0A3B6IW89_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_058660	Triticum aestivum (Wheat)	555
A0A3B6IWJ0	unreviewed	A0A3B6IWJ0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059244	Triticum aestivum (Wheat)	682
A0A3B6IWZ0	unreviewed	A0A3B6IWZ0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_058660	Triticum aestivum (Wheat)	537
A0A3B6IY96	unreviewed	A0A3B6IY96_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059241	Triticum aestivum (Wheat)	650
A0A3B6IYT7	unreviewed	A0A3B6IYT7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_059215	Triticum aestivum (Wheat)	552
A0A3B6JDP3	unreviewed	A0A3B6JDP3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	543
A0A3B6JEL4	unreviewed	A0A3B6JEL4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_060733	Triticum aestivum (Wheat)	546
A0A3B6JGF7	unreviewed	A0A3B6JGF7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	478
A0A3B6JGG0	unreviewed	A0A3B6JGG0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_061260	Triticum aestivum (Wheat)	613
A0A3B6JGH0	unreviewed	A0A3B6JGH0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_061048	Triticum aestivum (Wheat)	697
A0A3B6JGW1	unreviewed	A0A3B6JGW1_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_060732	Triticum aestivum (Wheat)	551
A0A3B6JIV8	unreviewed	A0A3B6JIV8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_061883	Triticum aestivum (Wheat)	567
A0A3B6JL53	unreviewed	A0A3B6JL53_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_061882	Triticum aestivum (Wheat)	579
A0A3B6JN21	unreviewed	A0A3B6JN21_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	656
A0A3B6JNQ8	unreviewed	A0A3B6JNQ8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_062740	Triticum aestivum (Wheat)	547
A0A3B6JNV4	unreviewed	A0A3B6JNV4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_063259	Triticum aestivum (Wheat)	551
A0A3B6JNZ0	unreviewed	A0A3B6JNZ0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_063292	Triticum aestivum (Wheat)	585
A0A3B6JPC4	unreviewed	A0A3B6JPC4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_063259	Triticum aestivum (Wheat)	545
A0A3B6JQI5	unreviewed	A0A3B6JQI5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_063233	Triticum aestivum (Wheat)	583
A0A3B6KD61	unreviewed	A0A3B6KD61_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	690
A0A3B6KE69	unreviewed	A0A3B6KE69_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	691
A0A3B6KF39	unreviewed	A0A3B6KF39_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_064950	Triticum aestivum (Wheat)	698
A0A3B6KGG0	unreviewed	A0A3B6KGG0_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	700
A0A3B6KGG5	unreviewed	A0A3B6KGG5_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	487
A0A3B6KGJ9	unreviewed	A0A3B6KGJ9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_065753	Triticum aestivum (Wheat)	721
A0A3B6KH17	unreviewed	A0A3B6KH17_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_065459	Triticum aestivum (Wheat)	728
A0A3B6KL78	unreviewed	A0A3B6KL78_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_067474	Triticum aestivum (Wheat)	430
A0A3B6KMP6	unreviewed	A0A3B6KMP6_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_067911	Triticum aestivum (Wheat)	662
A0A3B6KNI3	unreviewed	A0A3B6KNI3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_067356	Triticum aestivum (Wheat)	565
A0A3B6KPW2	unreviewed	A0A3B6KPW2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068345	Triticum aestivum (Wheat)	713
A0A3B6KQM4	unreviewed	A0A3B6KQM4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068776	Triticum aestivum (Wheat)	583
A0A3B6KQQ3	unreviewed	A0A3B6KQQ3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068802	Triticum aestivum (Wheat)	552
A0A3B6KQS8	unreviewed	A0A3B6KQS8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)		Triticum aestivum (Wheat)	549
A0A3B6KQT4	unreviewed	A0A3B6KQT4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068831	Triticum aestivum (Wheat)	654
A0A3B6KRV6	unreviewed	A0A3B6KRV6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068344	Triticum aestivum (Wheat)	729
A0A3B6KT37	unreviewed	A0A3B6KT37_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_068827	Triticum aestivum (Wheat)	558
A0A3B6LHM1	unreviewed	A0A3B6LHM1_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_070846	Triticum aestivum (Wheat)	678
A0A3B6LIN4	unreviewed	A0A3B6LIN4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_070694	Triticum aestivum (Wheat)	698
A0A3B6LJ20	unreviewed	A0A3B6LJ20_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_071202	Triticum aestivum (Wheat)	728
A0A3B6LJ75	unreviewed	A0A3B6LJ75_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_070846	Triticum aestivum (Wheat)	580
A0A3B6LJL2	unreviewed	A0A3B6LJL2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_070846	Triticum aestivum (Wheat)	475
A0A3B6LK77	unreviewed	A0A3B6LK77_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_071493	Triticum aestivum (Wheat)	599
A0A3B6LLR5	unreviewed	A0A3B6LLR5_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_071493	Triticum aestivum (Wheat)	588
A0A3B6LLU0	unreviewed	A0A3B6LLU0_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_071493	Triticum aestivum (Wheat)	722
A0A3B6LM32	unreviewed	A0A3B6LM32_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_071493	Triticum aestivum (Wheat)	722
A0A3B6LS55	unreviewed	A0A3B6LS55_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_073208	Triticum aestivum (Wheat)	565
A0A3B6LSG3	unreviewed	A0A3B6LSG3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_073319	Triticum aestivum (Wheat)	475
A0A3B6LSK4	unreviewed	A0A3B6LSK4_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_016742 CFC21_073260	Triticum aestivum (Wheat)	562
A0A3B6LSQ3	unreviewed	A0A3B6LSQ3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_073746	Triticum aestivum (Wheat)	618
A0A3B6LUA9	unreviewed	A0A3B6LUA9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074216 CFC21_074217	Triticum aestivum (Wheat)	729
A0A3B6LVH3	unreviewed	A0A3B6LVH3_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074215	Triticum aestivum (Wheat)	728
A0A3B6LVL6	unreviewed	A0A3B6LVL6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074216 CFC21_074217	Triticum aestivum (Wheat)	497
A0A3B6LVT7	unreviewed	A0A3B6LVT7_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074216 CFC21_074217	Triticum aestivum (Wheat)	562
A0A3B6LWN9	unreviewed	A0A3B6LWN9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074968	Triticum aestivum (Wheat)	545
A0A3B6LXW2	unreviewed	A0A3B6LXW2_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074968	Triticum aestivum (Wheat)	481
A0A3B6LXZ9	unreviewed	A0A3B6LXZ9_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_074968	Triticum aestivum (Wheat)	725
