Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
137	TR	A0A7J8YJA0	Benzyl alcohol O-benzoyltransferase OS=Gossypium aridum OX=34290 GN=Goari_001290 PE=4 SV=1	Gossypium aridum	454	987	46.0	63.0	5.2e-127
138	TR	A0A7J9MTT4	Benzyl alcohol O-benzoyltransferase OS=Gossypium schwendimanii OX=34291 GN=Goshw_012681 PE=4 SV=1	Gossypium schwendimanii	454	987	46.0	63.0	5.2e-127
139	TR	A0A5A7QQ06	HXXXD-type acyl-transferase family protein OS=Striga asiatica OX=4170 GN=STAS_24118 PE=4 SV=1	Striga asiatica	455	987	48.9	60.4	5.4e-127
140	TR	A0A1S3VHV5	Benzyl alcohol O-benzoyltransferase OS=Vigna radiata var. radiata OX=3916 GN=LOC106775223 PE=4 SV=1	Vigna radiata var. radiata	446	986	48.2	61.8	5.7e-127
141	TR	A0A1Q3BRJ2	Transferase domain-containing protein OS=Cephalotus follicularis OX=3775 GN=CFOL_v3_14145 PE=4 SV=1	Cephalotus follicularis	459	987	45.9	62.2	6.2e-127
142	TR	A0A2Z6PEH7	Benzyl alcohol O-benzoyltransferase OS=Trifolium subterraneum OX=3900 GN=TSUD_404790 PE=4 SV=1	Trifolium subterraneum	458	986	46.6	62.2	8.4e-127
143	TR	A0A834Y5J3	Benzyl alcohol O-benzoyltransferase OS=Tetracentron sinense OX=13715 GN=HHK36_032215 PE=4 SV=1	Tetracentron sinense	455	985	46.4	63.0	1.1e-126
144	TR	A0A5J9V9N8	Benzyl alcohol O-benzoyltransferase (Fragment) OS=Eragrostis curvula OX=38414 GN=EJB05_23846 PE=3 SV=1	Eragrostis curvula	458	985	47.3	62.1	1.2e-126
145	TR	A0A2Z6PEP8	Benzyl alcohol O-benzoyltransferase OS=Trifolium subterraneum OX=3900 GN=TSUD_404820 PE=4 SV=1	Trifolium subterraneum	459	985	46.5	63.2	1.2e-126
146	TR	A0A061F710	Benzoyl coenzyme A: Benzyl alcohol benzoyl transferase, putative OS=Theobroma cacao OX=3641 GN=TCM_025648 PE=4 SV=1	Theobroma cacao	471	986	47.9	62.2	1.3e-126
147	TR	A0A1U8MHK2	Benzyl alcohol O-benzoyltransferase-like OS=Gossypium hirsutum OX=3635 GN=LOC107937814 PE=4 SV=1	Gossypium hirsutum	454	984	46.0	63.2	1.5e-126
148	TR	A0A9R1WIP6	Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C100022710 PE=4 SV=1	Lactuca sativa	465	985	45.3	63.9	1.5e-126
149	TR	A0A6A3CWK7	Benzyl alcohol O-benzoyltransferase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00001120pilonHSYRG00395 PE=4 SV=1	Hibiscus syriacus	457	984	46.0	62.9	1.6e-126
150	TR	A0A9R1XT26	Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C100022700 PE=4 SV=1	Lactuca sativa	461	984	47.6	61.9	1.9e-126
151	TR	A0A6P4C2V8	Benzyl alcohol O-benzoyltransferase OS=Arachis duranensis OX=130453 GN=LOC107462813 PE=4 SV=1	Arachis duranensis	464	984	47.5	62.3	2.1e-126
152	TR	A0A445BZV8	Benzyl alcohol O-benzoyltransferase OS=Arachis hypogaea OX=3818 GN=Ahy_A08g040543 PE=4 SV=1	Arachis hypogaea	464	984	47.5	62.3	2.1e-126
153	TR	A0A8X7YJW4	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_044242 PE=4 SV=1	Populus tomentosa	457	983	47.2	62.1	2.3e-126
154	TR	A0A8T1NYZ6	Benzyl alcohol O-benzoyltransferase OS=Carya illinoinensis OX=32201 GN=CIPAW_12G125800 PE=4 SV=1	Carya illinoinensis	461	983	46.2	63.8	2.6e-126
155	TR	A0A162AGT5	Benzyl alcohol O-benzoyltransferase OS=Daucus carota subsp. sativus OX=79200 GN=DCAR_001552 PE=4 SV=1	Daucus carota subsp. sativus	463	983	47.7	62.3	2.8e-126
156	TR	A0A834YCX6	Benzyl alcohol O-benzoyltransferase OS=Tetracentron sinense OX=13715 GN=HHK36_028374 PE=4 SV=1	Tetracentron sinense	455	982	46.1	63.0	3.1e-126
157	TR	A0A3S3NV76	Benzyl alcohol O-benzoyltransferase OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01617800 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	456	982	47.2	63.5	3.2e-126
158	TR	A0A4U5PNL9	Benzyl alcohol O-benzoyltransferase-like OS=Populus alba OX=43335 GN=D5086_0000200990 PE=4 SV=1	Populus alba	457	982	47.2	62.1	3.3e-126
159	TR	A0A8J5GRC0	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_029279 PE=4 SV=1	Zingiber officinale	458	982	47.7	62.4	3.4e-126
160	TR	A0A8S0SSS5	Benzyl alcohol O-benzoyltransferase OS=Olea europaea subsp. europaea OX=158383 GN=OLEA9_A027299 PE=4 SV=1	Olea europaea subsp. europaea	452	981	46.2	61.2	3.9e-126
161	TR	A0A1S3E641	Benzyl alcohol O-benzoyltransferase-like OS=Cicer arietinum OX=3827 GN=LOC101508133 PE=4 SV=1	Cicer arietinum	463	982	47.2	61.3	4e-126
162	TR	A0A6P5Z5P5	Benzyl alcohol O-benzoyltransferase-like OS=Durio zibethinus OX=66656 GN=LOC111297394 PE=4 SV=1	Durio zibethinus	444	980	46.4	63.9	4.3e-126
163	TR	A0A2I4F947	Benzyl alcohol O-benzoyltransferase-like OS=Juglans regia OX=51240 GN=LOC108996627 PE=4 SV=2	Juglans regia	455	981	46.8	62.4	4.3e-126
164	TR	A0A834SKN9	Benzyl alcohol O-benzoyltransferase OS=Senna tora OX=362788 GN=G2W53_044292 PE=4 SV=1	Senna tora	458	981	47.3	61.8	4.8e-126
165	TR	V7BIY5	Benzyl alcohol O-benzoyltransferase OS=Phaseolus vulgaris OX=3885 GN=PHAVU_007G280800g PE=4 SV=1	Phaseolus vulgaris	458	981	47.4	63.1	4.8e-126
166	TR	A0A6I9SDE0	Benzyl alcohol O-benzoyltransferase OS=Elaeis guineensis var. tenera OX=51953 GN=LOC105059710 PE=3 SV=1	Elaeis guineensis var. tenera	469	982	44.9	61.1	4.8e-126
167	TR	A0A6G1EW58	Uncharacterized protein OS=Oryza meyeriana var. granulata OX=110450 GN=E2562_010724 PE=3 SV=1	Oryza meyeriana var. granulata	469	982	46.4	62.0	4.8e-126
168	TR	A0A8S0T1S9	Benzyl alcohol O-benzoyltransferase OS=Olea europaea subsp. europaea OX=158383 GN=OLEA9_A009862 PE=4 SV=1	Olea europaea subsp. europaea	452	980	46.1	60.8	5.6e-126
169	TR	A0A251VSW9	Benzyl alcohol O-benzoyltransferase OS=Helianthus annuus OX=4232 GN=BEBT PE=4 SV=1	Helianthus annuus	461	980	46.7	62.5	7.5e-126
170	TR	A0A166GFC7	Benzyl alcohol O-benzoyltransferase OS=Daucus carota subsp. sativus OX=79200 GN=DCAR_001551 PE=4 SV=1	Daucus carota subsp. sativus	462	980	47.3	62.3	7.7e-126
171	TR	A0A7N2MIT0	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	453	979	46.4	62.7	8.2e-126
172	TR	A0A022RN35	Benzyl alcohol O-benzoyltransferase OS=Erythranthe guttata OX=4155 GN=MIMGU_mgv1a006089mg PE=4 SV=1	Erythranthe guttata	458	979	46.4	62.4	9.6e-126
173	TR	A0A8J4QYP0	Benzyl alcohol O-benzoyltransferase OS=Castanea mollissima OX=60419 GN=CMV_016992 PE=4 SV=1	Castanea mollissima	459	979	47.1	63.2	9.9e-126
174	TR	A0A103XZX5	Chloramphenicol acetyltransferase-like domain-containing protein OS=Cynara cardunculus var. scolymus OX=59895 GN=Ccrd_021736 PE=4 SV=1	Cynara cardunculus var. scolymus	461	979	46.6	62.3	1.1e-125
175	TR	A0A0E0M9F1	Cystatin domain-containing protein OS=Oryza punctata OX=4537 PE=3 SV=1	Oryza punctata	589	990	46.3	61.9	1.2e-125
176	TR	A0A8X7XUX4	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_059120 PE=4 SV=1	Populus tomentosa	460	978	46.7	61.3	1.4e-125
177	TR	A0A6J1KWZ0	Benzyl alcohol O-benzoyltransferase-like OS=Cucurbita maxima OX=3661 GN=LOC111499525 PE=4 SV=1	Cucurbita maxima	461	978	46.1	61.6	1.5e-125
178	TR	A0A803LPH1	Benzyl alcohol O-benzoyltransferase OS=Chenopodium quinoa OX=63459 PE=4 SV=1	Chenopodium quinoa	465	978	44.7	61.2	1.7e-125
179	TR	A0A2K3LLZ3	Benzyl alcohol O-benzoyltransferase-like protein OS=Trifolium pratense OX=57577 GN=L195_g035541 PE=4 SV=1	Trifolium pratense	459	977	45.4	62.0	2e-125
180	TR	A0A8J5GPC4	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_029275 PE=3 SV=1	Zingiber officinale	462	977	47.5	62.3	2.2e-125
181	TR	A0A4U6SY36	Benzyl alcohol O-benzoyltransferase OS=Setaria viridis OX=4556 GN=SEVIR_9G199900v2 PE=3 SV=1	Setaria viridis	463	977	46.9	60.3	2.3e-125
182	TR	A0A0E0EZM0	Uncharacterized protein OS=Oryza meridionalis OX=40149 PE=3 SV=1	Oryza meridionalis	474	978	46.6	60.9	2.3e-125
183	TR	C5WWE4	Benzyl alcohol O-benzoyltransferase OS=Sorghum bicolor OX=4558 GN=SORBI_3001G201800 PE=3 SV=1	Sorghum bicolor	465	977	47.4	61.5	2.4e-125
184	TR	A0A8X7YKV5	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_045402 PE=4 SV=1	Populus tomentosa	444	975	46.3	61.9	2.4e-125
185	TR	A0A5N6RF58	Benzyl alcohol O-benzoyltransferase OS=Carpinus fangiana OX=176857 GN=FH972_016117 PE=4 SV=1	Carpinus fangiana	455	976	46.7	62.2	2.5e-125
186	TR	A0A4S8I4Y1	Benzyl alcohol O-benzoyltransferase OS=Musa balbisiana OX=52838 GN=C4D60_Mb00t00230 PE=3 SV=1	Musa balbisiana	457	976	48.0	62.8	2.6e-125
187	TR	A0A8X8C0F9	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_058134 PE=4 SV=1	Populus tomentosa	460	976	46.6	61.9	2.9e-125
188	TR	A0A4U5Q137	Benzyl alcohol O-benzoyltransferase-like OS=Populus alba OX=43335 GN=D5086_0000170200 PE=4 SV=1	Populus alba	460	976	46.6	61.7	2.9e-125
189	TR	B9IPY5	Benzyl alcohol O-benzoyltransferase OS=Populus trichocarpa OX=3694 GN=POPTR_019G043600 PE=4 SV=2	Populus trichocarpa	460	976	46.5	61.3	2.9e-125
190	TR	A0A8B7BKS9	Benzyl alcohol O-benzoyltransferase-like OS=Phoenix dactylifera OX=42345 GN=LOC103699757 PE=3 SV=1	Phoenix dactylifera	460	976	45.0	61.4	2.9e-125
191	TR	A0A6P6BIC4	Benzyl alcohol O-benzoyltransferase-like OS=Durio zibethinus OX=66656 GN=LOC111318339 PE=4 SV=1	Durio zibethinus	449	974	47.2	63.0	4.1e-125
192	TR	K4AKI6	Benzyl alcohol O-benzoyltransferase OS=Setaria italica OX=4555 GN=101759181 PE=3 SV=1	Setaria italica	463	975	46.9	60.3	4.5e-125
193	TR	A0A7J8YJA8	Benzyl alcohol O-benzoyltransferase (Fragment) OS=Gossypium aridum OX=34290 GN=Goari_001289 PE=4 SV=1	Gossypium aridum	443	973	46.6	62.2	4.7e-125
194	TR	A0A8X7YLV7	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_045403 PE=4 SV=1	Populus tomentosa	456	974	46.0	62.1	5.1e-125
195	TR	A0A0S3S572	Benzyl alcohol O-benzoyltransferase OS=Vigna angularis var. angularis OX=157739 GN=Vigan.05G143000 PE=4 SV=1	Vigna angularis var. angularis	458	974	46.6	61.3	5.4e-125
196	TR	A0A0L9VD31	Benzyl alcohol O-benzoyltransferase OS=Phaseolus angularis OX=3914 GN=HKW66_Vig0074200 PE=4 SV=1	Phaseolus angularis	458	974	46.6	61.3	5.4e-125
197	TR	A0A804NPN8	Benzyl alcohol O-benzoyltransferase OS=Zea mays OX=4577 PE=3 SV=1	Zea mays	459	974	47.4	61.7	5.6e-125
198	TR	A0A2Z6PPP4	Benzyl alcohol O-benzoyltransferase OS=Trifolium subterraneum OX=3900 GN=TSUD_404740 PE=4 SV=1	Trifolium subterraneum	459	974	44.5	63.1	5.6e-125
199	TR	A0A2P6PRD1	Putative benzyl alcohol O-benzoyltransferase OS=Rosa chinensis OX=74649 GN=RchiOBHm_Chr6g0272991 PE=4 SV=1	Rosa chinensis	463	974	46.7	63.1	6.4e-125
200	TR	A0A8K0IIM4	Benzyl alcohol O-benzoyltransferase OS=Cocos nucifera OX=13894 GN=COCNU_08G007060 PE=3 SV=1	Cocos nucifera	467	974	44.7	60.1	7.3e-125
201	TR	A0A6J1A9J1	Benzyl alcohol O-benzoyltransferase-like OS=Herrania umbratica OX=108875 GN=LOC110415922 PE=4 SV=1	Herrania umbratica	452	972	45.2	62.3	9e-125
202	TR	A0A5J5AEX2	Uncharacterized protein OS=Nyssa sinensis OX=561372 GN=F0562_035134 PE=4 SV=1	Nyssa sinensis	457	972	46.3	63.2	1.1e-124
203	TR	A0A6P5XK65	Benzyl alcohol O-benzoyltransferase-like OS=Durio zibethinus OX=66656 GN=LOC111284102 PE=4 SV=1	Durio zibethinus	449	971	47.0	63.0	1.2e-124
204	TR	A0A444XZD6	Benzyl alcohol O-benzoyltransferase OS=Arachis hypogaea OX=3818 GN=Ahy_B08g089998 PE=4 SV=1	Arachis hypogaea	462	972	47.1	62.4	1.2e-124
205	TR	A0A4U5PQF4	Benzyl alcohol O-benzoyltransferase-like OS=Populus alba OX=43335 GN=D5086_0000200960 PE=4 SV=1	Populus alba	444	970	46.0	62.1	1.4e-124
206	TR	A0A8X7YFR4	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_044239 PE=4 SV=1	Populus tomentosa	444	969	46.0	61.9	2e-124
207	TR	A0A0S3SVA8	Benzyl alcohol O-benzoyltransferase OS=Vigna angularis var. angularis OX=157739 GN=Vigan.08G368500 PE=4 SV=1	Vigna angularis var. angularis	462	970	47.3	61.7	2.5e-124
208	TR	A0A0L9TUK3	Benzyl alcohol O-benzoyltransferase OS=Phaseolus angularis OX=3914 GN=HKW66_Vig0189790 PE=4 SV=1	Phaseolus angularis	462	970	47.3	61.7	2.5e-124
209	TR	A0A200Q1Z2	Transferase OS=Macleaya cordata OX=56857 GN=BVC80_1717g68 PE=4 SV=1	Macleaya cordata	464	970	45.4	63.3	2.6e-124
210	TR	A0A6P6SV76	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113695058 PE=4 SV=1	Coffea arabica	462	969	46.2	62.4	3.5e-124
211	TR	A0A8B8Q0V1	Benzyl alcohol O-benzoyltransferase isoform X1 OS=Rhodamnia argentea OX=178133 GN=LOC115748376 PE=4 SV=1	Rhodamnia argentea	458	968	46.4	61.8	4.4e-124
212	TR	A0A8T0MIG8	Benzyl alcohol O-benzoyltransferase OS=Panicum virgatum OX=38727 GN=PVAP13_9NG251800 PE=3 SV=1	Panicum virgatum	458	968	47.1	60.9	4.4e-124
213	TR	A0A8J5W771	Benzyl alcohol O-benzoyltransferase OS=Zizania palustris OX=103762 GN=GUJ93_ZPchr0010g8000 PE=4 SV=1	Zizania palustris	470	969	47.0	62.6	4.5e-124
214	TR	A0A445LGU1	Benzyl alcohol O-benzoyltransferase OS=Glycine soja OX=3848 GN=D0Y65_008126 PE=4 SV=1	Glycine soja	452	967	45.8	61.1	5.1e-124
215	TR	I1JRK7	Benzyl alcohol O-benzoyltransferase OS=Glycine max OX=3847 GN=100793362 PE=4 SV=1	Glycine max	452	967	45.8	61.1	5.1e-124
216	TR	B9I6S8	Uncharacterized protein OS=Populus trichocarpa OX=3694 GN=POPTR_013G074400 PE=4 SV=1	Populus trichocarpa	456	967	45.8	61.2	5.8e-124
217	TR	A0A7J6DRT5	Benzyl alcohol O-benzoyltransferase OS=Cannabis sativa OX=3483 GN=F8388_025710 PE=4 SV=1	Cannabis sativa	456	967	47.2	62.0	5.8e-124
218	TR	A0A8J5LGX8	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_025313 PE=4 SV=1	Zingiber officinale	462	967	47.0	62.2	7e-124
219	TR	A0A1S3UY06	Benzyl alcohol O-benzoyltransferase OS=Vigna radiata var. radiata OX=3916 GN=LOC106769599 PE=4 SV=1	Vigna radiata var. radiata	462	967	46.9	61.0	7e-124
220	TR	A0A8T0NF57	Benzyl alcohol O-benzoyltransferase OS=Panicum virgatum OX=38727 GN=PVAP13_9KG132500 PE=3 SV=1	Panicum virgatum	463	967	46.7	60.2	7.3e-124
221	TR	A0A7N2MIH7	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	453	966	45.3	61.8	7.5e-124
222	TR	A0A8J4RAF1	Benzyl alcohol O-benzoyltransferase OS=Castanea mollissima OX=60419 GN=CMV_009880 PE=4 SV=1	Castanea mollissima	444	965	45.9	61.5	7.9e-124
223	TR	A0A4U5QG08	Benzyl alcohol O-benzoyltransferase-like OS=Populus alba OX=43335 GN=D5086_0000092720 PE=4 SV=1	Populus alba	456	966	45.6	61.7	8.2e-124
224	TR	A0A175YCL8	Benzyl alcohol O-benzoyltransferase OS=Daucus carota subsp. sativus OX=79200 GN=DCAR_028959 PE=4 SV=1	Daucus carota subsp. sativus	456	966	46.8	62.3	8.2e-124
225	TR	A0A7N2MFX2	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	459	966	47.0	62.6	9e-124
226	TR	A0A3L6SE07	Benzyl alcohol O-benzoyltransferase OS=Panicum miliaceum OX=4540 GN=C2845_PM02G10180 PE=3 SV=1	Panicum miliaceum	459	966	46.9	60.8	9e-124
227	TR	A0A6A3CZ82	Benzyl alcohol O-benzoyltransferase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00000738pilonHSYRG00038 PE=4 SV=1	Hibiscus syriacus	453	965	46.7	63.0	1.1e-123
228	TR	A0A0E0BCE7	Uncharacterized protein OS=Oryza glumipatula OX=40148 PE=3 SV=1	Oryza glumipatula	475	967	46.0	60.4	1.1e-123
229	TR	B9SDE9	3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase, putative OS=Ricinus communis OX=3988 GN=RCOM_1517160 PE=4 SV=1	Ricinus communis	455	965	43.1	61.1	1.1e-123
230	TR	A0A1S3VHK2	Benzyl alcohol O-benzoyltransferase-like OS=Vigna radiata var. radiata OX=3916 GN=LOC106775140 PE=4 SV=1	Vigna radiata var. radiata	458	965	45.5	61.3	1.2e-123
231	TR	A2Z936	Uncharacterized protein OS=Oryza sativa subsp. indica OX=39946 GN=OsI_34226 PE=3 SV=1	Oryza sativa subsp. indica	475	966	46.0	60.4	1.5e-123
232	TR	A0A7J9I2X3	Benzyl alcohol O-benzoyltransferase-like OS=Gossypium harknessii OX=34285 GN=Gohar_000917 PE=4 SV=1	Gossypium harknessii	443	963	45.2	62.6	1.5e-123
233	TR	A0A8J5WM09	Benzyl alcohol O-benzoyltransferase OS=Zizania palustris OX=103762 GN=GUJ93_ZPchr0012g19698 PE=4 SV=1	Zizania palustris	468	965	46.0	61.9	1.7e-123
234	TR	A0A7N2MHK1	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	448	963	47.7	61.5	1.8e-123
235	TR	A0A3B5ZT68	Benzyl alcohol O-benzoyltransferase OS=Triticum aestivum OX=4565 PE=3 SV=1	Triticum aestivum	463	964	46.9	60.7	2.1e-123
236	TR	A0A452YJI5	Benzyl alcohol O-benzoyltransferase OS=Aegilops tauschii subsp. strangulata OX=200361 PE=3 SV=1	Aegilops tauschii subsp. strangulata	463	964	46.9	60.7	2.1e-123
237	TR	A0A8J5GTI8	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_029280 PE=4 SV=1	Zingiber officinale	465	964	46.8	61.3	2.2e-123
238	TR	A0A6P5XX28	Benzyl alcohol O-benzoyltransferase-like OS=Durio zibethinus OX=66656 GN=LOC111286852 PE=4 SV=1	Durio zibethinus	456	963	46.4	62.1	2.3e-123
239	TR	A0A0D2TZX5	Uncharacterized protein OS=Gossypium raimondii OX=29730 GN=B456_013G121600 PE=4 SV=1	Gossypium raimondii	448	962	44.8	62.3	2.5e-123
240	TR	A0A804J581	(wild Malaysian banana) hypothetical protein OS=Musa acuminata subsp. malaccensis OX=214687 GN=GSMUA_268760.1 PE=3 SV=1	Musa acuminata subsp. malaccensis	460	963	46.5	59.4	2.6e-123
241	TR	A0A3L6TJW4	10-deacetylbaccatin III 10-O-acetyltransferase OS=Panicum miliaceum OX=4540 GN=C2845_PM01G38540 PE=3 SV=1	Panicum miliaceum	461	963	46.7	60.3	2.7e-123
242	TR	A0A6I9TQU6	LOW QUALITY PROTEIN: benzyl alcohol O-benzoyltransferase-like OS=Sesamum indicum OX=4182 GN=LOC105167776 PE=4 SV=1	Sesamum indicum	466	963	45.2	62.5	3.2e-123
243	TR	A0A6A2YJD7	Benzyl alcohol O-benzoyltransferase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00111540pilonHSYRG00265 PE=4 SV=1	Hibiscus syriacus	445	961	45.9	61.6	3.3e-123
244	TR	A0A5D2S2C6	Benzyl alcohol O-benzoyltransferase-like OS=Gossypium mustelinum OX=34275 GN=E1A91_D13G127400v1 PE=4 SV=1	Gossypium mustelinum	448	961	44.4	62.7	3.6e-123
245	TR	A0A1U8KSW3	Benzyl alcohol O-benzoyltransferase-like OS=Gossypium hirsutum OX=3635 GN=LOC107919066 PE=4 SV=1	Gossypium hirsutum	448	961	44.8	61.8	3.6e-123
246	TR	A0A2T7C575	Benzyl alcohol O-benzoyltransferase OS=Panicum hallii var. hallii OX=1504633 GN=GQ55_9G192800 PE=3 SV=1	Panicum hallii var. hallii	460	962	46.6	60.8	3.7e-123
247	TR	A0A061EZS1	Benzoyl coenzyme A: Benzyl alcohol benzoyl transferase OS=Theobroma cacao OX=3641 GN=TCM_025664 PE=4 SV=1	Theobroma cacao	452	961	44.4	62.2	4.1e-123
248	TR	A0A0E0IUX4	Uncharacterized protein OS=Oryza nivara OX=4536 PE=3 SV=1	Oryza nivara	475	963	45.8	60.4	4.3e-123
249	TR	A0A5N6RHM1	Benzyl alcohol O-benzoyltransferase OS=Carpinus fangiana OX=176857 GN=FH972_016113 PE=4 SV=1	Carpinus fangiana	465	962	45.6	61.1	4.4e-123
250	TR	A0A067KTS8	Uncharacterized protein OS=Jatropha curcas OX=180498 GN=JCGZ_02587 PE=4 SV=1	Jatropha curcas	444	960	45.3	62.2	4.5e-123
