Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
benzyl alcohol O-benzoyltransferase [Gossypium raimondii],Gossypium raimondii,399,399,96%,8e-132,46.48,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012464383.1?report=genbank&log$=prottop&blast_rank=94&RID=KNC2M38501N"",""XP_012464383.1"")"
benzyl alcohol O-benzoyltransferase [Medicago truncatula],Medicago truncatula,400,400,95%,9e-132,48.11,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024641644.2?report=genbank&log$=prottop&blast_rank=95&RID=KNC2M38501N"",""XP_024641644.2"")"
hypothetical protein TEA_011957 [Camellia sinensis var. sinensis],Camellia sinensis var. sinensis,401,401,95%,1e-131,47.77,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/THG04858.1?report=genbank&log$=prottop&blast_rank=96&RID=KNC2M38501N"",""THG04858.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucurbita pepo subsp. pepo],Cucurbita pepo subsp. pepo,399,399,95%,1e-131,46.88,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023512188.1?report=genbank&log$=prottop&blast_rank=97&RID=KNC2M38501N"",""XP_023512188.1"")"
hypothetical protein KSS87_016284 [Heliosperma pusillum],Heliosperma pusillum,399,399,96%,1e-131,47.37,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9610438.1?report=genbank&log$=prottop&blast_rank=98&RID=KNC2M38501N"",""KAH9610438.1"")"
benzyl alcohol O-benzoyltransferase-like [Lotus japonicus],Lotus japonicus,399,399,94%,1e-131,47.50,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057440721.1?report=genbank&log$=prottop&blast_rank=99&RID=KNC2M38501N"",""XP_057440721.1"")"
hsr201 [Nicotiana tabacum],Nicotiana tabacum,399,399,95%,1e-131,48.31,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA64636.1?report=genbank&log$=prottop&blast_rank=100&RID=KNC2M38501N"",""CAA64636.1"")"



		


