Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
143	TR	A0A1U7UWD2	Cytochrome P450 77A2 OS=Nicotiana sylvestris OX=4096 GN=LOC104212698 PE=3 SV=1	Nicotiana sylvestris	513	482	30.6	46.8	7.4e-51
144	TR	A0A978VN74	Cytochrome P450 77A3-like OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj03G0045400 PE=3 SV=1	Ziziphus jujuba var. spinosa	516	482	29.6	45.3	7.9e-51
145	TR	A0A484LUS5	Cytochrome P450 OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS22049 PE=3 SV=1	Cuscuta campestris	521	482	29.7	45.3	8.7e-51
146	TR	A0A0S3R9P4	Cytochrome P450 OS=Vigna angularis var. angularis OX=157739 GN=Vigan.01G550700 PE=3 SV=1	Vigna angularis var. angularis	506	481	28.7	46.6	9e-51
147	TR	A0A0L9TTF8	Cytochrome P450 OS=Phaseolus angularis OX=3914 GN=LR48_Vigan01g338100 PE=3 SV=1	Phaseolus angularis	506	481	28.7	46.6	9e-51
148	TR	A0A5N5MZX8	Cytochrome P450 OS=Salix brachista OX=2182728 GN=DKX38_005399 PE=3 SV=1	Salix brachista	507	481	28.1	46.4	9.2e-51
149	TR	A0A1S3XDK2	Cytochrome P450 77A2 OS=Nicotiana tabacum OX=4097 GN=LOC107764015 PE=3 SV=1	Nicotiana tabacum	513	481	30.8	46.8	1e-50
150	TR	A0A2K3MTW7	Cytochrome p450 77a3-like protein OS=Trifolium pratense OX=57577 GN=L195_g017352 PE=3 SV=1	Trifolium pratense	515	481	29.8	45.3	1.1e-50
151	TR	A0A1J7FNX1	Cytochrome P450 77A3 OS=Lupinus angustifolius OX=3871 GN=TanjilG_05156 PE=3 SV=1	Lupinus angustifolius	517	481	28.9	45.8	1.1e-50
152	TR	A0A2P5APA6	Cytochrome P450, E-class, group I OS=Parasponia andersonii OX=3476 GN=PanWU01x14_312750 PE=3 SV=1	Parasponia andersonii	508	480	29.0	46.6	1.3e-50
153	TR	A0A2I0AUI2	Cytochrome P450 89A2 OS=Apostasia shenzhenica OX=1088818 GN=CYP89A2 PE=3 SV=1	Apostasia shenzhenica	516	480	27.0	46.5	1.5e-50
154	TR	A0A067JAJ2	Cytochrome P450 OS=Jatropha curcas OX=180498 GN=JCGZ_21248 PE=3 SV=1	Jatropha curcas	505	479	28.7	48.0	1.7e-50
155	TR	A0A5J5B9A7	Cytochrome P450 OS=Nyssa sinensis OX=561372 GN=F0562_025871 PE=3 SV=1	Nyssa sinensis	532	480	31.0	45.8	2.1e-50
156	TR	A0A2I0BFF5	Cytochrome P450 77A3 OS=Apostasia shenzhenica OX=1088818 GN=CYP77A3 PE=3 SV=1	Apostasia shenzhenica	516	479	29.3	47.6	2.1e-50
157	TR	A0A498JIP9	Cytochrome P450 OS=Malus domestica OX=3750 GN=DVH24_024529 PE=3 SV=1	Malus domestica	535	480	27.7	44.3	2.2e-50
158	TR	A0A314KMX0	Cytochrome p450 77a1 OS=Nicotiana attenuata OX=49451 GN=CYP77A1_1 PE=3 SV=1	Nicotiana attenuata	501	478	27.7	46.6	2.2e-50
159	TR	A0A7J8VJB8	Uncharacterized protein (Fragment) OS=Gossypium klotzschianum OX=34286 GN=Goklo_006774 PE=3 SV=1	Gossypium klotzschianum	470	476	29.7	46.8	2.2e-50
160	TR	A0A1J7HRW5	Cytochrome P450 71A1-like OS=Lupinus angustifolius OX=3871 GN=TanjilG_07185 PE=3 SV=1	Lupinus angustifolius	486	477	28.5	46.3	2.2e-50
161	TR	A0A5N5F034	Cytochrome P450 77A1-like OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_031919 PE=3 SV=1	Pyrus ussuriensis x Pyrus communis	537	480	28.1	44.5	2.3e-50
162	TR	A0A1E5WLR2	Cytochrome P450 89A2 OS=Dichanthelium oligosanthes OX=888268 GN=BAE44_0000682 PE=3 SV=1	Dichanthelium oligosanthes	523	479	29.6	45.6	2.4e-50
163	TR	A0A2I0A2V1	Cytochrome P450 71A1 OS=Apostasia shenzhenica OX=1088818 GN=CYP71A1 PE=3 SV=1	Apostasia shenzhenica	506	478	29.3	47.4	2.4e-50
164	TR	A0A830DDB8	Cytochrome p450 77a2 OS=Phtheirospermum japonicum OX=374723 GN=PHJA_002577100 PE=3 SV=1	Phtheirospermum japonicum	507	478	30.0	47.2	2.5e-50
165	TR	A0A6P6S502	Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113687900 PE=3 SV=1	Coffea arabica	508	478	29.2	48.3	2.5e-50
166	TR	A0A6P6SC14	Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113690037 PE=3 SV=1	Coffea arabica	508	478	29.2	48.3	2.5e-50
167	TR	V4L7E6	Cytochrome P450 77A3 OS=Eutrema salsugineum OX=72664 GN=EUTSA_v10007399mg PE=3 SV=1	Eutrema salsugineum	510	478	28.2	46.7	2.6e-50
168	TR	A0A2I0A3U4	Cytochrome P450 89A9 OS=Apostasia shenzhenica OX=1088818 GN=CYP89A9 PE=3 SV=1	Apostasia shenzhenica	511	478	28.0	45.8	2.7e-50
169	TR	A0A2I4H6Z1	Cytochrome P450 77A1 OS=Juglans regia OX=51240 GN=LOC109014061 PE=3 SV=2	Juglans regia	512	478	29.0	46.7	2.7e-50
170	TR	A0A8T3ACD7	Cytochrome P450 OS=Dendrobium nobile OX=94219 GN=KFK09_023903 PE=3 SV=1	Dendrobium nobile	517	478	27.6	46.5	3e-50
171	TR	A0A8J5W6Q4	Cytochrome P450 OS=Zizania palustris OX=103762 GN=GUJ93_ZPchr0014g47188 PE=3 SV=1	Zizania palustris	535	479	29.5	46.0	3e-50
172	TR	A0A078FKG6	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA06g33020D PE=3 SV=1	Brassica napus	501	477	29.7	47.2	3e-50
173	TR	A0A830CUA1	Cytochrome p450 77a2 OS=Phtheirospermum japonicum OX=374723 GN=PHJA_002406000 PE=3 SV=1	Phtheirospermum japonicum	519	478	30.3	47.8	3.1e-50
174	TR	A0A2T7CUK8	Uncharacterized protein OS=Panicum hallii var. hallii OX=1504633 GN=GQ55_7G129700 PE=3 SV=1	Panicum hallii var. hallii	539	479	29.4	45.9	3.3e-50
175	TR	A0A484MNE4	Uncharacterized protein OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS31354 PE=3 SV=1	Cuscuta campestris	491	476	30.9	47.6	3.5e-50
176	TR	A0A6P6XKR1	Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113743718 PE=3 SV=1	Coffea arabica	508	477	29.4	48.5	3.5e-50
177	TR	A0A2P6RVJ3	Putative cytochrome P450 OS=Rosa chinensis OX=74649 GN=RchiOBHm_Chr2g0133181 PE=3 SV=1	Rosa chinensis	511	477	30.4	47.4	3.7e-50
178	TR	A0A6I9V1S4	Cytochrome P450 77A2-like OS=Sesamum indicum OX=4182 GN=LOC105179689 PE=3 SV=1	Sesamum indicum	531	478	29.8	47.3	3.9e-50
179	TR	A0A4U6TT33	Cytochrome P450 OS=Setaria viridis OX=4556 GN=SEVIR_7G095650v2 PE=3 SV=1	Setaria viridis	534	478	29.4	46.4	4.1e-50
180	TR	K3Y6E9	Cytochrome P450 OS=Setaria italica OX=4555 GN=101753063 PE=3 SV=1	Setaria italica	534	478	29.4	46.4	4.1e-50
181	TR	A0A8B7CED2	Cytochrome P450 89A2-like OS=Phoenix dactylifera OX=42345 GN=LOC103712482 PE=3 SV=1	Phoenix dactylifera	511	476	28.5	45.7	5.1e-50
182	TR	A0A6J0K0D2	Cytochrome P450 71B23-like OS=Raphanus sativus OX=3726 GN=LOC108813363 PE=3 SV=1	Raphanus sativus	498	475	29.9	48.4	5.5e-50
183	TR	A0A673H4S2	Steroid 21-hydroxylase-like OS=Sinocyclocheilus rhinocerous OX=307959 GN=LOC107743211 PE=3 SV=1	Sinocyclocheilus rhinocerous	500	475	28.6	50.2	5.8e-50
184	TR	A0A9R1UCN1	Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C900474820 PE=4 SV=1	Lactuca sativa	556	478	30.6	45.5	6.1e-50
185	TR	A0A2G5F9M9	Cytochrome P450 OS=Aquilegia coerulea OX=218851 GN=AQUCO_00100283v1 PE=3 SV=1	Aquilegia coerulea	170	449	51.8	70.7	6.2e-50
186	TR	A0A8C0YFM2	Cytochrome P450, family 21, subfamily A, polypeptide 2 OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1	Cyprinus carpio carpio	522	476	28.9	47.9	6.3e-50
187	TR	A0A068UQR9	Premnaspirodiene oxygenase-like OS=Coffea canephora OX=49390 GN=GSCOC_T00031577001 PE=3 SV=1	Coffea canephora	508	475	29.4	48.3	6.7e-50
188	TR	A0A078H7Z4	BnaC08g41990D protein OS=Brassica napus OX=3708 GN=BnaC08g41990D PE=3 SV=1	Brassica napus	510	475	28.5	46.4	7e-50
189	TR	A0A843VMC4	Cytochrome P450 71A1 OS=Colocasia esculenta OX=4460 GN=Taro_026024 PE=3 SV=1	Colocasia esculenta	529	476	28.6	46.7	7.2e-50
190	TR	A0A5E4E6P6	PREDICTED: cytochrome P450 OS=Prunus dulcis OX=3755 GN=ALMOND_2B014746 PE=3 SV=1	Prunus dulcis	516	475	29.8	45.7	7.9e-50
191	TR	A0A3L6QJL6	Cytochrome P450 89A2-like OS=Panicum miliaceum OX=4540 GN=C2845_PM12G08930 PE=3 SV=1	Panicum miliaceum	518	475	29.4	45.9	8.2e-50
192	TR	C0PFY1	Cytochrome P450 77A3 OS=Zea mays OX=4577 GN=100273592 PE=2 SV=1	Zea mays	519	475	28.2	43.6	8.3e-50
193	TR	A0A9K3HN25	Premnaspirodiene oxygenase OS=Helianthus annuus OX=4232 GN=HanXRQr2_Chr11g0480401 PE=3 SV=1	Helianthus annuus	503	474	27.9	46.0	8.5e-50
194	TR	A0A8T0PY70	Uncharacterized protein OS=Panicum virgatum OX=38727 GN=PVAP13_7NG214500 PE=3 SV=1	Panicum virgatum	540	476	29.4	45.9	8.9e-50
195	TR	A0A843VLY5	Cytochrome P450 89A2 OS=Colocasia esculenta OX=4460 GN=Taro_028733 PE=3 SV=1	Colocasia esculenta	507	474	28.5	46.9	9.2e-50
196	TR	A0A4P1RTR3	Cytochrome P450 OS=Lupinus angustifolius OX=3871 GN=TanjilG_13192 PE=3 SV=1	Lupinus angustifolius	512	474	29.7	46.7	1e-49
197	TR	A0A8K0DTX5	Cytochrome P450 OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR25251 PE=3 SV=1	Rhamnella rubrinervis	518	474	29.3	45.0	1.1e-49
198	TR	A0A671U7S4	Steroid 21-hydroxylase OS=Sparus aurata OX=8175 GN=LOC115567844 PE=3 SV=1	Sparus aurata	523	474	28.8	49.8	1.2e-49
199	TR	A0A8X8ACK2	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_014908 PE=3 SV=1	Populus tomentosa	506	473	29.3	46.1	1.3e-49
200	TR	A0A4U5NL27	Cytochrome P450 family protein OS=Populus alba OX=43335 GN=D5086_0000267630 PE=3 SV=1	Populus alba	506	473	29.3	46.1	1.3e-49
201	TR	A0A068UT26	Premnaspirodiene oxygenase-like OS=Coffea canephora OX=49390 GN=GSCOC_T00031582001 PE=3 SV=1	Coffea canephora	508	473	29.0	48.1	1.3e-49
202	TR	A0A8T1PKC9	Cytochrome P450 OS=Carya illinoinensis OX=32201 GN=CIPAW_09G089200 PE=3 SV=1	Carya illinoinensis	510	473	29.1	46.5	1.4e-49
203	TR	A0A6J0LFD8	Cytochrome P450 77A3-like OS=Raphanus sativus OX=3726 GN=LOC108829178 PE=3 SV=1	Raphanus sativus	510	473	28.3	46.7	1.4e-49
204	TR	D7LXL2	CYP77A4 OS=Arabidopsis lyrata subsp. lyrata OX=81972 GN=ARALYDRAFT_487247 PE=3 SV=1	Arabidopsis lyrata subsp. lyrata	511	473	29.0	45.6	1.4e-49
205	TR	A0A1J7GLK0	Uncharacterized protein OS=Lupinus angustifolius OX=3871 GN=TanjilG_07618 PE=3 SV=1	Lupinus angustifolius	512	473	28.9	45.5	1.4e-49
206	TR	D7UBU8	Cytochrome P450 77A2 OS=Vitis vinifera OX=29760 GN=VIT_13s0074g00390 PE=3 SV=1	Vitis vinifera	515	473	28.4	46.4	1.5e-49
207	TR	A0A6A6LY74	Cytochrome P450 OS=Hevea brasiliensis OX=3981 GN=GH714_000880 PE=3 SV=1	Hevea brasiliensis	505	472	28.7	46.6	1.7e-49
208	TR	B9RXP4	Cytochrome P450, putative OS=Ricinus communis OX=3988 GN=RCOM_0905330 PE=3 SV=1	Ricinus communis	505	472	27.1	46.2	1.7e-49
209	TR	C5XH17	Cytochrome P450 OS=Sorghum bicolor OX=4558 GN=SORBI_3003G413800 PE=3 SV=1	Sorghum bicolor	523	473	29.4	46.8	1.7e-49
210	TR	A0A1S3ED33	Cytochrome P450 77A1 OS=Cicer arietinum OX=3827 GN=LOC105852450 PE=3 SV=1	Cicer arietinum	508	472	29.2	47.0	1.8e-49
211	TR	A0A314UQ02	Cytochrome P450 77A3 OS=Prunus yedoensis var. nudiflora OX=2094558 GN=Pyn_02323 PE=3 SV=1	Prunus yedoensis var. nudiflora	514	472	30.3	45.4	2e-49
212	TR	M5VW54	Cytochrome P450 OS=Prunus persica OX=3760 GN=PRUPE_7G219700 PE=3 SV=1	Prunus persica	516	472	29.4	45.6	2.1e-49
213	TR	A0A103YE93	Cytochrome P450 OS=Cynara cardunculus var. scolymus OX=59895 GN=Ccrd_014191 PE=3 SV=1	Cynara cardunculus var. scolymus	502	471	30.6	45.4	2.2e-49
214	TR	A0A8K0HH84	Uncharacterized protein OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR07791 PE=3 SV=1	Rhamnella rubrinervis	506	471	27.9	45.9	2.4e-49
215	TR	A0A978W1D7	Cytochrome P450 77A1 OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj01G0129200 PE=3 SV=1	Ziziphus jujuba var. spinosa	507	471	29.2	46.6	2.5e-49
216	TR	A0A6P3ZWF5	Cytochrome P450 77A1 OS=Ziziphus jujuba OX=326968 GN=LOC107420023 PE=3 SV=1	Ziziphus jujuba	507	471	29.2	46.6	2.5e-49
217	TR	A0A445AXI1	Cytochrome P450 OS=Arachis hypogaea OX=3818 GN=Ahy_B01g055903 PE=3 SV=1	Arachis hypogaea	510	471	28.6	46.4	2.6e-49
218	TR	A0A671LW96	Steroid 21-hydroxylase-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107685595 PE=3 SV=1	Sinocyclocheilus anshuiensis	494	470	28.2	49.8	2.7e-49
219	TR	A0A1R3H3Q8	Cytochrome P450 OS=Corchorus olitorius OX=93759 GN=COLO4_31741 PE=3 SV=1	Corchorus olitorius	512	471	29.5	45.8	2.7e-49
220	TR	C3SAE5	p450 OS=Brachypodium distachyon OX=15368 GN=BRADI_3g17090v3 PE=3 SV=1	Brachypodium distachyon	531	472	29.5	45.9	2.8e-49
221	TR	A0A6J0JV73	Cytochrome P450 71B4-like OS=Raphanus sativus OX=3726 GN=LOC108811121 PE=3 SV=1	Raphanus sativus	501	470	28.9	47.3	3e-49
222	TR	A0A5N6Q8B8	Cytochrome P450 OS=Carpinus fangiana OX=176857 GN=FH972_000252 PE=3 SV=1	Carpinus fangiana	506	470	29.1	47.6	3.4e-49
223	TR	A0A4U5NLL2	Cytochrome P450 family protein OS=Populus alba OX=43335 GN=D5086_0000267640 PE=3 SV=1	Populus alba	507	470	28.1	45.6	3.4e-49
224	TR	B9H1E7	Cytochrome P450 OS=Populus trichocarpa OX=3694 GN=POPTR_004G019000 PE=3 SV=2	Populus trichocarpa	507	470	28.1	46.0	3.4e-49
225	TR	A0A445IL45	Cytochrome P450 71D8 OS=Glycine soja OX=3848 GN=D0Y65_026741 PE=3 SV=1	Glycine soja	508	470	27.8	45.7	3.5e-49
226	TR	A0A803M201	Cytochrome P450 OS=Chenopodium quinoa OX=63459 PE=3 SV=1	Chenopodium quinoa	493	469	28.6	46.7	3.6e-49
227	TR	A0A835ARB7	Cytochrome P450 OS=Digitaria exilis OX=1010633 GN=HU200_051166 PE=3 SV=1	Digitaria exilis	531	471	28.7	44.6	3.9e-49
228	TR	A0A6J5Y2R3	Cytochrome P450 OS=Prunus armeniaca OX=36596 GN=CURHAP_LOCUS46542 PE=3 SV=1	Prunus armeniaca	516	470	29.8	45.9	4.1e-49
229	TR	W5LAA4	Cytochrome P450, family 21, subfamily A, polypeptide 2 OS=Astyanax mexicanus OX=7994 PE=3 SV=2	Astyanax mexicanus	500	469	28.6	48.4	4.2e-49
230	TR	A0A6P6TQN0	Ferruginol synthase-like OS=Coffea arabica OX=13443 GN=LOC113703564 PE=3 SV=1	Coffea arabica	500	469	27.7	46.8	4.2e-49
231	TR	A0A6A3AX34	Cytochrome P450 81D1 OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110332pilonHSYRG01310 PE=3 SV=1	Hibiscus syriacus	500	469	28.7	46.0	4.2e-49
232	TR	A0A5N5F0A4	Cytochrome P450 77A1-like OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_031979 PE=3 SV=1	Pyrus ussuriensis x Pyrus communis	537	471	27.7	44.5	4.3e-49
233	TR	A0A673H2R4	Steroid 21-hydroxylase-like OS=Sinocyclocheilus rhinocerous OX=307959 GN=LOC107743211 PE=3 SV=1	Sinocyclocheilus rhinocerous	503	469	28.2	49.6	4.4e-49
234	TR	A0A565ARE3	Cytochrome P450 OS=Arabis nemorensis OX=586526 GN=ANE_LOCUS1623 PE=3 SV=1	Arabis nemorensis	504	469	30.4	49.2	4.5e-49
235	TR	A0A9J7KXG7	Cytochrome P450 2U1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118413157 PE=3 SV=1	Branchiostoma floridae	488	468	27.4	46.3	4.6e-49
236	TR	I1L9Y1	Cytochrome P450 71D8 OS=Glycine max OX=3847 GN=100790902 PE=3 SV=1	Glycine max	508	469	27.8	45.7	4.9e-49
237	TR	A0A6P4ZSW0	Cytochrome P450 2D6-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481790 PE=3 SV=1	Branchiostoma belcheri	492	468	28.6	46.5	4.9e-49
238	TR	A0A6J0KTA7	Cytochrome P450 77A3-like OS=Raphanus sativus OX=3726 GN=LOC108821821 PE=3 SV=1	Raphanus sativus	510	469	27.6	46.6	5e-49
239	TR	A0A078JEG5	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA08g31590D PE=3 SV=1	Brassica napus	510	469	27.2	46.0	5e-49
240	SP	Q9LZ31	Cytochrome P450 77A4 OS=Arabidopsis thaliana OX=3702 GN=CYP77A4 PE=2 SV=1	Arabidopsis thaliana	512	469	28.8	45.4	5.2e-49
241	TR	A0A4V3WKW2	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_015141 PE=3 SV=1	Camellia sinensis var. sinensis	512	469	29.1	46.2	5.2e-49
242	TR	A0A8B8MF94	Cytochrome P450 77A3 OS=Abrus precatorius OX=3816 GN=LOC113872464 PE=3 SV=1	Abrus precatorius	512	469	29.4	45.9	5.2e-49
243	TR	A0A4U5V2E5	Steroid 21-hydroxylase OS=Collichthys lucidus OX=240159 GN=D9C73_016041 PE=3 SV=1	Collichthys lucidus	513	469	29.6	49.5	5.3e-49
244	TR	D8R0C2	Uncharacterized protein CYP77D1 (Fragment) OS=Selaginella moellendorffii OX=88036 GN=CYP77D1 PE=3 SV=1	Selaginella moellendorffii	449	465	28.8	48.7	5.5e-49
245	TR	A0A314KNE2	Cytochrome p450 77a1 OS=Nicotiana attenuata OX=49451 GN=CYP77A1_0 PE=3 SV=1	Nicotiana attenuata	498	468	29.7	46.6	5.6e-49
246	TR	A0A8T0R758	Cytochrome P450 89A2 OS=Panicum virgatum OX=38727 GN=PVAP13_6KG057800 PE=3 SV=1	Panicum virgatum	521	469	29.3	45.6	6.2e-49
247	TR	A0A1Q3BJI7	p450 domain-containing protein OS=Cephalotus follicularis OX=3775 GN=CFOL_v3_11683 PE=3 SV=1	Cephalotus follicularis	505	468	28.7	46.5	6.4e-49
248	TR	K7W1T9	Putative cytochrome P450 superfamily protein OS=Zea mays OX=4577 GN=103636322 PE=3 SV=1	Zea mays	523	469	29.0	46.8	6.4e-49
249	TR	A0A8X8A2Y0	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_016659 PE=3 SV=1	Populus tomentosa	507	468	28.1	45.8	6.6e-49
250	TR	A0A8X8A0U6	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_014909 PE=3 SV=1	Populus tomentosa	507	468	28.1	45.6	6.6e-49
