Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein ZIOFF_039194 [Zingiber officinale],Zingiber officinale,330,330,89%,2e-104,41.67,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6499408.1?report=genbank&log$=prottop&blast_rank=96&RID=M3C6TRUW013"",""KAG6499408.1"")"
hypothetical protein ZIOFF_043553 [Zingiber officinale],Zingiber officinale,331,331,97%,2e-104,39.05,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6495727.1?report=genbank&log$=prottop&blast_rank=97&RID=M3C6TRUW013"",""KAG6495727.1"")"
hypothetical protein ZIOFF_043256 [Zingiber officinale],Zingiber officinale,328,328,89%,5e-104,41.67,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6495432.1?report=genbank&log$=prottop&blast_rank=98&RID=M3C6TRUW013"",""KAG6495432.1"")"
hypothetical protein ZIOFF_043252 [Zingiber officinale],Zingiber officinale,328,328,89%,5e-104,41.67,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6495428.1?report=genbank&log$=prottop&blast_rank=99&RID=M3C6TRUW013"",""KAG6495428.1"")"
hypothetical protein ZIOFF_075799 [Zingiber officinale],Zingiber officinale,330,330,97%,6e-104,39.05,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6466399.1?report=genbank&log$=prottop&blast_rank=100&RID=M3C6TRUW013"",""KAG6466399.1"")"



		


